der/die/das,il/la/lo
sein,essere
und,e
in,in
ein,un/uno/una
zu,a/per
haben,avere
ich,io
werden,diventare
sie,lei/loro
mit,con
nicht,non
auf,su
sich,sé
es,esso/ciò
auch,anche
für,per
von,di/da
an,a/su
er,egli/lui
so,così
als,come/quando
können,potere
bei,presso/da
aber,ma
nach,dopo/verso
wir,noi
sagen,dire
aus,da/fuori
müssen,dovere
dann,poi/allora
noch,ancora
wie,come
oder,o
du,tu
machen,fare
über,sopra/su
wenn,se/quando
gehen,andare
Jahr,anno
kommen,venire
sollen,dovere
wollen,volere
geben,dare
mehr,più
schon,già
vor,davanti/prima
durch,attraverso
kein,nessuno
nur,solo
Zeit,tempo
man,si (impersonale)
gut,buono
andere,altro
bis,fino a
was,che cosa/quello che
Mensch,persona/uomo
neu,nuovo
Tag,giorno
wo,dove
groß,grande
immer,sempre
doch,però/tuttavia
wieder,di nuovo
mal,volta
zwei,due
lassen,lasciare
dieser,questo
sehen,vedere
wissen,sapere
damit,con ciò/affinché
jetzt,adesso
Frau,donna
da,lì/poiché
denn,perché
all,tutto
leben,vivere
viel,molto
finden,trovare
weil,perché
denken,pensare
nur,solo
jeder,ogni/ciascuno
ganz,tutto/completamente
stehen,stare in piedi
seit,da (tempo)
Land,paese/terra
unter,sotto
Kind,bambino
ja,sì
Mann,uomo
bleiben,rimanere
nehmen,prendere
zeigen,mostrare
glauben,credere
also,dunque
Hand,mano
gerade,proprio/appena
heißen,chiamarsi
erste,primo
Haus,casa
ihm,a lui
bekommen,ricevere
tun,fare
natürlich,naturalmente
Frage,domanda
sprechen,parlare
Stadt,città
recht,diritto/giusto
drei,tre
dazu,inoltre
einmal,una volta
Herr,signore
uns,noi (oggetto)
arbeiten,lavorare
selbst,stesso
Weg,via/strada
Welt,mondo
lange,lungo
heute,oggi
mögen,piacere
ihre,loro/sua
mir,a me
liegen,giacere
Wort,parola
Auge,occhio
zwar,certamente
eigentlich,in realtà
spielen,giocare
fragen,chiedere
bringen,portare
klein,piccolo
etwas,qualcosa
ihn,lui (oggetto)
gegen,contro
nun,ora
allerdings,tuttavia
möglich,possibile
vielleicht,forse
Ende,fine
dafür,per questo
ohne,senza
hören,sentire
schauen,guardare
halt,fermata
beginnen,cominciare
stellen,mettere
jede,ogni
kennen,conoscere
nie,mai
Problem,problema
Kopf,testa
Arbeit,lavoro
zu,troppo
setzen,mettere
eigene,proprio
versuchen,tentare
Teil,parte
verstehen,capire
alt,vecchio
warum,perché
später,più tardi
helfen,aiutare
Beispiel,esempio
dabei,allo stesso tempo
Mädchen,ragazza
schnell,veloce
ihm,lui (dativo)
Geld,denaro
mir,me (dativo)
Deutschland,Germania
wenig,poco
bereits,già
nein,no
lesen,leggere
genau,esatto
Grund,motivo
kaum,appena
deshalb,perciò
gleich,uguale/subito
letzte,ultimo
Familie,famiglia
oben,sopra
bestehen,consistere
statt,invece di
einige,alcuni
führen,condurre
Fall,caso
ziehen,tirare
suchen,cercare
zwischen,tra
einfach,semplice
bestimmt,determinato
solch,tale
einzeln,singolo
lernen,imparare
leicht,leggero
Gesellschaft,società
entwickeln,sviluppare
Eltern,genitori
damals,allora
Seite,pagina/lato
kurz,breve
Schule,scuola
Name,nome
darüber,su di esso
hoch,alto
Wasser,acqua
Moment,momento
hinter,dietro
erklären,spiegare
stark,forte
schaffen,creare
halten,tenere
politisch,politico
vier,quattro
Bild,immagine
Freund,amico
wichtig,importante
früh,presto
während,durante
Sache,cosa
eher,piuttosto
Leute,gente
nächste,prossimo
erzählen,raccontare
Stelle,posto
allein,solo
Uhr,orologio
treffen,incontrare
fehlen,mancare
Thema,tema
Mutter,madre
schwer,difficile
weit,lontano
bald,presto
Art,tipo
Tür,porta
sondern,ma (dopo negazione)
nämlich,cioè
daran,a questo
ebenfalls,anche
Firma,azienda
oft,spesso
Vater,padre
Richtung,direzione
Monat,mese
Woche,settimana
doch,ma
daher,quindi
früher,prima
sonst,altrimenti
entscheiden,decidere
Punkt,punto
ändern,cambiare
erhalten,ricevere
besonders,particolarmente
Blick,sguardo
weiter,oltre
Form,forma
deutlich,chiaro
Buch,libro
zuerst,prima
fünf,cinque
immer,sempre
Stimme,voce
reden,parlare
Idee,idea
Bereich,area
plötzlich,improvvisamente
direkt,diretto
Stunde,ora
Ort,luogo
Meinung,opinione
folgen,seguire
Ziel,obiettivo
außerdem,inoltre
Abend,sera
Zimmer,stanza
Morgen,mattina
Gott,Dio
Angst,paura
Auto,auto
sitzen,sedere
Hund,cane
Haar,capelli
Glas,vetro
Straße,strada
Spiel,gioco
Nacht,notte
Fuß,piede
passieren,accadere
Sinn,senso
Gesicht,viso
sofort,subito
Boden,pavimento
Tisch,tavolo
Regel,regola
Junge,ragazzo
Brief,lettera
Anfang,inizio
gehören,appartenere
Information,informazione
heiß,caldo
schreiben,scrivere
Liebe,amore
Musik,musica
Hilfe,aiuto
Schritt,passo
gestern,ieri
leider,purtroppo
Zukunft,futuro
selber,stesso
Bitte,per favore
Gegend,zona
schwarz,nero
offen,aperto
Stück,pezzo
teilen,dividere
Hoffnung,speranza
Sohn,figlio
wählen,scegliere
Krieg,guerra
Ausbildung,formazione
Situation,situazione
Ahnung,idea
möglicherweise,possibilmente
Lösung,soluzione
insbesondere,in particolare
Bewegung,movimento
Kraft,forza
sprechen,parlare
Entwicklung,sviluppo
genauso,allo stesso modo
Mittag,mezzogiorno
Universität,università
Minute,minuto
inzwischen,nel frattempo
sechs,sei
folgende,seguente
meinen,ritenere
werfen,gettare
Sorge,preoccupazione
davon,di ciò
Ergebnis,risultato
Zeitung,giornale
Plan,piano
frei,libero
Leben,vita
Tier,animale
schließlich,infine
Entscheidung,decisione
Person,persona
Schüler,studente
Computer,computer
darum,per questo
Tod,morte
merken,notare
Produkt,prodotto
rot,rosso
Sprache,lingua
Gruppe,gruppo
manchmal,a volte
schlafen,dormire
Luft,aria
Antwort,risposta
laufen,correre
Preis,prezzo
Ding,cosa
völlig,completamente
System,sistema
endlich,finalmente
Text,testo
Nähe,vicinanza
Film,film
Berliner,berlinese
entstehen,sorgere
Herz,cuore
entsprechend,corrispondente
interessieren,interessare
Euro,euro
verlassen,lasciare
Platz,posto
Gespräch,conversazione
Zahl,numero
Region,regione
Programm,programma
Kilometer,chilometro
Chance,opportunità
Kaffee,caffè
Bahn,ferrovia
Mühe,sforzo
Zug,treno
Tochter,figlia
Unternehmen,impresa
Mitglied,membro
nahe,vicino
rufen,chiamare
schwierig,difficile
Arzt,medico
legen,mettere
Datum,data
Augenblick,momento
Kinder,bambini
Strom,corrente
Telefon,telefono
Ring,anello
irgendwie,in qualche modo
sogar,persino
nennen,nominare
Interesse,interesse
Möglichkeit,possibilità
Gefühl,sentimento
trotzdem,nonostante ciò
Hotel,albergo
vergessen,dimenticare
richtig,giusto
grün,verde
unterstützen,sostenere
Kultur,cultura
Wind,vento
ruhig,calmo
Licht,luce
Geschäft,negozio
meiste,la maggior parte
Internet,internet
Geist,spirito
lieb,caro
warten,aspettare
schlecht,cattivo
Staat,stato
sieben,sette
Polizei,polizia
Schmerz,dolore
Wohnung,appartamento
Kilometer,chilometro
kaufen,comprare
Bedeutung,significato
Bauer,contadino
Ohr,orecchio
weniger,meno
jedenfalls,in ogni caso
liegen,stare sdraiato
Maschine,macchina
Fehler,errore
Lehrer,insegnante
Zentrum,centro
Mond,luna
Schulter,spalla
Brot,pane
Meter,metro
Raum,spazio
aufhören,smettere
acht,otto
Erfahrung,esperienza
verlieren,perdere
Zukunft,futuro
Karte,carta
Rücken,schiena
Zahn,dente
Stein,pietra
Erinnerung,ricordo
Hitze,calore
Kleidung,vestiti
Dank,grazie
Spaß,divertimento
tragen,portare
hängen,appendere
Katze,gatto
Bier,birra
sowieso,comunque
verschwinden,scomparire
Klasse,classe
besitzen,possedere
ständig,costantemente
Natur,natura
Fenster,finestra
Mittag,mezzogiorno
Menge,quantità
drücken,premere
nachdem,dopo che
neun,nove
Firma,ditta
niemand,nessuno
Kirche,chiesa
Papier,carta
Arm,braccio
kümmern,preoccuparsi
Leistung,prestazione
Kurs,corso
anders,diverso
Vergangenheit,passato
Eindruck,impressione
Diskussion,discussione
Gebäude,edificio
Projekt,progetto
Vorstellung,idea
blau,blu
Lage,situazione
mögen,piacere
deswegen,per questo motivo
Mark,marco
Regel,regola
Berg,montagna
Musik,musica
Geschäft,attività
erwarten,aspettarsi
weiß,bianco
Erziehung,educazione
wechseln,cambiare
Garten,giardino
Begriff,concetto
Fernsehen,televisione
Material,materiale
Sekunde,secondo
Wunsch,desiderio
Lohn,salario
dürfen,potere
erreichen,raggiungere
Tatsache,fatto
betreffen,riguardare
Betrieb,azienda
egal,uguale
Technik,tecnica
bauen,costruire
brechen,rompere
Meer,mare
Aufgabe,compito
Flugzeug,aereo
letzt,ultimo
vergleichen,confrontare
vorher,prima
Feld,campo
wirken,agire
Kosten,costi
drehen,girare
Aktion,azione
Finger,dito
handeln,agire
sollen,dovere
umgehen,trattare
Ecke,angolo
Baum,albero
Augen,occhi
Sonne,sole
Überraschung,sorpresa
Markt,mercato
schneiden,tagliare
Boot,barca
bereit,pronto
zahlen,pagare
bieten,offrire
Freundin,amica
Kunst,arte
brauchen,aver bisogno
Inhalt,contenuto
Kontakt,contatto
Jugendliche,adolescente
Reihe,fila
Aufnahme,registrazione
treten,pestare
Fest,festa
Zunge,lingua
schade,peccato
Feuer,fuoco
bilden,formare
vorstellen,presentare
verhindern,impedire
Stelle,posto
zehn,dieci
trinken,bere
Klinik,clinica
Station,stazione
Rede,discorso
Wahl,scelta
Behandlung,trattamento
daran,a ciò
Urlaub,vacanza
Kunde,cliente
Mut,coraggio
Lehrerin,insegnante (f)
besser,meglio
Vertrag,contratto
Verhalten,comportamento
wesentlich,essenziale
Bett,letto
April,aprile
anbieten,offrire
Rolle,ruolo
Kuh,mucca
Energie,energia
bestimmte,determinato
versprechen,promettere
Mai,maggio
lachen,ridere
Schwester,sorella
Einheit,unità
Rat,consiglio
Dorf,villaggio
Beziehung,relazione
träumen,sognare
Höhe,altezza
Wagen,veicolo
vorschlagen,proporre
gucken,guardare
März,marzo
behalten,mantenere
Abschluss,conclusione
Politik,politica
Wand,parete
Insel,isola
Stufe,gradino
Pferd,cavallo
Bruder,fratello
vermeiden,evitare
gesund,sano
Radio,radio
dahin,là
Arzt,medico
Tasche,borsa
überlegen,riflettere
Angebot,offerta
Beitrag,contributo
Winter,inverno
Niveau,livello
Gehirn,cervello
Antwort,risposta
Sänger,cantante
Regen,pioggia
Juli,luglio
Besuch,visita
Ursache,causa
Januar,gennaio
Hälfte,metà
studieren,studiare
Juni,giugno
Konzept,concetto
verändert,cambiato
erwarten,aspettarsi
Amerikaner,americano
September,settembre
jemand,qualcuno
einsetzen,impiegare
Partei,partito
Lied,canzone
Dezember,dicembre
reichen,bastare
Dach,tetto
Oktober,ottobre
aufnehmen,registrare
Umwelt,ambiente
warnen,avvertire
schicken,mandare
gleichen,somigliare
Käse,formaggio
Freude,gioia
Schluss,fine
Anspruch,diritto
Spiegel,specchio
wirklich,veramente
Krankenhaus,ospedale
November,novembre
Kollege,collega
nötig,necessario
Ehepaar,coppia
Konto,conto
hinzu,inoltre
Krankheit,malattia
Bühne,palco
warm,caldo
verbinden,collegare
Fleisch,carne
August,agosto
Grenze,confine
Rechnung,conto
nutzen,utilizzare
begreifen,comprendere
ernst,serio
Akte,atto
sammeln,raccogliere
Druck,pressione
Rahmen,cornice
geraten,finire
Flasche,bottiglia
Karriere,carriera
Botschaft,messaggio
Blatt,foglio
reisen,viaggiare
Geschwindigkeit,velocità
Vertrauen,fiducia
Miete,affitto
Zimmer,camera
Gewalt,violenza
Autor,autore
Farbe,colore
Steuer,tassa
zuhören,ascoltare
Konflikt,conflitto
lernen,imparare
Oper,opera
Februar,febbraio
Linie,linea
glänzend,brillante
Zentrum,centro
Wirt,oste
Zins,interesse
Tee,tè
Verbindung,connessione
Stuhl,sedia
aktiv,attivo
Alkohol,alcol
Ausgabe,edizione
Maus,topo
hell,chiaro
Ton,tono
verkaufen,vendere
zweite,secondo
Mannschaft,squadra
Partner,partner
Gedanke,pensiero
Schuhe,scarpe
aktuell,attuale
Behörde,autorità
Bedingung,condizione
Sommer,estate
Pflanze,pianta
elf,undici
Ruhe,riposo
gesamt,intero
fühlen,sentire
schön,bello
Sport,sport
springen,saltare
Runde,giro
Position,posizione
zwölf,dodici
Prozent,percentuale
geschehen,accadere
genug,abbastanza
blind,cieco
Urteil,giudizio
Lust,voglia
Witz,battuta
Kunst,arte
Mord,omicidio
traurig,triste
üben,esercitare
genießen,godere
Temperatur,temperatura
Zuschauer,spettatore
beschreiben,descrivere
Kontrolle,controllo
Zelle,cella
Beratung,consulenza
Schlag,colpo
wild,selvaggio
Absicht,intenzione
Himmel,cielo
Eingang,ingresso
Wissenschaft,scienza
Auswahl,selezione
fliegen,volare
Verfügung,disposizione
Hose,pantaloni
Gewinn,profitto
Besucher,visitatore
frisch,fresco
Demokratie,democrazia
beweisen,dimostrare
Wirkung,effetto
freuen,rallegrarsi
Teufel,diavolo
Mitte,metà
Haushalt,famiglia
Abteilung,dipartimento
April,aprile
Fähigkeit,capacità
Einfluss,influenza
Suche,ricerca
tief,profondo
Institut,istituto
Herbst,autunno
fest,fisso
Milch,latte
hassen,odiare
Maßnahme,misura
wenden,girare
Sitz,sede
Vorschlag,proposta
verwenden,usare
Führung,leadership
Stimmung,umore
dauernd,costante
gefallen,piacere
stecken,infilare
Verein,associazione
entfernen,rimuovere
Bürger,cittadino
Blut,sangue
wach,sveglio
Zugang,accesso
Frühling,primavera
Wunsch,desiderio
Zitat,citazione
Gewicht,peso
Schnee,neve
untersuchen,esaminare
müde,stanco
Eis,ghiaccio
kritisch,critico
einrichten,allestire
Daten,dati
Gericht,tribunale
dumm,stupido
wandern,camminare
selten,raro
Lauf,corsa
erhöhen,aumentare
Schiff,nave
umziehen,traslocare
Schlaf,sonno
Getränk,bevanda
Fisch,pesce
verdienen,guadagnare
brennen,bruciare
König,re
Einladung,invito
Zustand,stato
Bär,orso
normal,normale
Fahrer,autista
Griff,maniglia
Fels,roccia
Krise,crisi
Mund,bocca
Übung,esercizio
Fläche,superficie
Vorsicht,attenzione
Post,posta
prüfen,verificare
zerstören,distruggere
Stimme,voce
Leitung,direzione
Religion,religione
steigen,salire
beschließen,decidere
Kreis,cerchio
Konzert,concerto
Spur,traccia
Gesundheit,salute
ansehen,guardare
Geheimnis,segreto
Bildung,formazione
kämpfen,combattere
bestätigen,confermare
schuld,colpevole
beenden,finire
erlauben,permettere
Vorwurf,rimprovero
Termin,appuntamento
Beweis,prova
Recht,diritto
lassen,lasciar fare
Dollar,dollaro
stören,disturbare
nackt,nudo
erleben,vivere
ausschließen,escludere
beschäftigen,occupare
Kälte,freddo
Vorteil,vantaggio
öffnen,aprire
Prozess,processo
laut,rumoroso
verwenden,utilizzare
Alter,età
Vogel,uccello
Sicherheit,sicurezza
Verständnis,comprensione
Methode,metodo
Küche,cucina
vorbereiten,preparare
Bein,gamba
Rock,gonna
drohen,minacciare
Zähne,denti
Bank,banca
Tante,zia
krank,malato
Saal,sala
Erklärung,spiegazione
Prinzip,principio
Reifen,pneumatico
Ziel,obiettivo
Kriterium,criterio
Ordnung,ordine
Volk,popolo
schätzen,stimare
Dauer,durata
Schwein,maiale
Abstand,distanza
darstellen,rappresentare
Vertreter,rappresentante
Chef,capo
verteilen,distribuire
erfolgen,avvenire
Sommer,estate
Sicherheit,sicurezza
anrufen,chiamare
Tier,animale
werfen,lanciare
Verfahren,procedura
Charakter,carattere
Tabelle,tabella
Verlag,editore
Gesetz,legge
Umgebung,ambiente
Haut,pelle
Nachmittag,pomeriggio
Einstellung,atteggiamento
gültig,valido
Fahrzeug,veicolo
international,internazionale
voll,pieno
entsetzt,sconvolto
Serie,serie
gelingen,riuscire
übrig,rimanente
Schall,suono
abgeben,consegnare
klar,chiaro
leiten,guidare
Sonne,sole
empfehlen,raccomandare
ausreichen,bastare
seitdem,da allora
ausdrücken,esprimere
Eisen,ferro
Wissenschaftler,scienziato
Wunder,miracolo
Netz,rete
Regel,regola
fürchten,temere
Schatten,ombra
Mehrheit,maggioranza
Schule,scuola
gefährlich,pericoloso
Gold,oro
Album,album
Verwaltung,amministrazione
Gast,ospite
Roman,romanzo
vorziehen,preferire
aussprechen,pronunciare
König,re
durchführen,eseguire
Linie,linea
Schaden,danno
Fluss,fiume
Jahrhundert,secolo
Staat,stato
wünschen,desiderare
Publikum,pubblico
Verkehr,traffico
anschauen,guardare
Atem,respiro
Prüfung,esame
echt,vero
Verhältnis,rapporto
Hersteller,produttore
Salz,sale
Sorte,tipo
Titel,titolo
Faktor,fattore
Anwendung,applicazione
herstellen,produrre
Werkstatt,officina
Magen,stomaco
Aspekt,aspetto
Transport,trasporto
Einnahme,entrata
Hölle,inferno
Szenario,scenario
Konzeption,concezione
Sturm,tempesta
Umfrage,sondaggio
Wange,guancia
Keller,cantina
langsam,lento
öffentlich,pubblico
Gefahr,pericolo
Element,elemento
Vater,padre
Verbesserung,miglioramento
Reparatur,riparazione
Versuch,tentativo
Schuld,colpa
Pfanne,padella
Trainer,allenatore
Minute,minuto
